FILEBASE, SCALE, BYTES, ACCA, ACCB, ACCAVG, OCRTIME
8541_001.2B, 1.0, 35142, 99, 99, 99.0, 3.20751714706
8597_001.2B, 1.0, 18234, 93, 94, 93.5, 1.99105095863
8741_002.2B, 1.0, 12720, 97, 97, 97.0, 0.832899808884
8750_001.2B, 1.0, 29996, 96, 95, 95.5, 1.91871213913
8752_001.2B, 1.0, 39420, 93, 93, 93.0, 5.1882879734
8564_001.2B, 1.0, 26494, 76, 80, 78.0, 2.29851794243
8502_001.2B, 1.0, 32236, 89, 94, 91.5, 1.81504297256
8717_001.2B, 1.0, 29414, 86, 83, 84.5, 3.00974202156
8520_003.2B, 1.0, 31946, 97, 99, 98.0, 1.82718300819
8747_002.2B, 1.0, 37952, 95, 95, 95.0, 1.69444084167
8749_002.2B, 1.0, 34738, 70, 65, 67.5, 4.67114114761
8529_002.2B, 1.0, 7262, 77, 90, 83.5, 0.962619066238
8729_001.2B, 1.0, 34702, 92, 93, 92.5, 2.78358197212
8523_001.2B, 1.0, 39654, 85, 88, 86.5, 4.71858215332
8710_001.2B, 1.0, 19478, 85, 89, 87.0, 2.37005496025
8584_001.2B, 1.0, 27708, 96, 97, 96.5, 1.47235703468
8501_001.2B, 1.0, 14234, 93, 94, 93.5, 0.888053178787
8592_001.2B, 1.0, 18504, 97, 98, 97.5, 0.961644887924
8570_001.2B, 1.0, 9584, 92, 93, 92.5, 0.671507835388
8508_001.2B, 1.0, 40006, 90, 95, 92.5, 3.43476295471
8759_004.2B, 1.0, 35858, 93, 93, 93.0, 4.04370689392
8734_001.2B, 1.0, 29482, 80, 91, 85.5, 2.16098284721
8538_001.2B, 1.0, 24456, 97, 97, 97.0, 2.19763803482
8759_002.2B, 1.0, 34326, 95, 96, 95.5, 2.79360699654
8580_001.2B, 1.0, 12188, 99, 99, 99.0, 0.865872144699
8601_001.2B, 1.0, 36730, 98, 98, 98.0, 2.55657196045
8555_001.2B, 1.0, 26644, 85, 89, 87.0, 2.3855509758
8541_002.2B, 1.0, 32810, 94, 94, 94.0, 2.88890600204
8547_001.2B, 1.0, 11860, 85, 91, 88.0, 0.957594156265
8536_001.2B, 1.0, 28226, 83, 88, 85.5, 3.35999798775
8599_001.2B, 1.0, 22612, 86, 87, 86.5, 1.73162412643
8736_001.2B, 1.0, 21214, 92, 94, 93.0, 2.06047582626
8562_001.2B, 1.0, 12886, 92, 91, 91.5, 0.936902999878
8758_002.2B, 1.0, 39332, 95, 95, 95.0, 3.4977710247
8750_003.2B, 1.0, 32562, 97, 97, 97.0, 1.69287896156
8581_001.2B, 1.0, 22988, 98, 99, 98.5, 1.60314011574
8596_001.2B, 1.0, 21168, 97, 98, 97.5, 1.66579079628
8537_001.2B, 1.0, 10570, 71, 87, 79.0, 1.61658406258
8742_002.2B, 1.0, 10416, 96, 99, 97.5, 0.606650829315
8704_001.2B, 1.0, 18242, 91, 98, 94.5, 1.72102713585
8522_001.2B, 1.0, 31684, 88, 90, 89.0, 3.08816790581
8559_001.2B, 1.0, 23448, 80, 83, 81.5, 2.4706659317
8709_001.2B, 1.0, 25214, 88, 93, 90.5, 2.54368805885
8751_001.2B, 1.0, 25318, 68, 76, 72.0, 1.79557299614
8728_001.2B, 1.0, 22026, 94, 95, 94.5, 1.18251800537
8712_001.2B, 1.0, 30234, 87, 90, 88.5, 3.63228106499
8510_001.2B, 1.0, 26900, 90, 92, 91.0, 2.61555290222
8753_001.2B, 1.0, 50722, 90, 94, 92.0, 5.89108610153
8755_001.2B, 1.0, 24522, 95, 96, 95.5, 1.48939204216
8504_001.2B, 1.0, 19516, 85, 92, 88.5, 2.20760703087
8701_001.2B, 1.0, 26046, 88, 89, 88.5, 2.00932598114
8705_001.2B, 1.0, 26260, 75, 84, 79.5, 3.09762501717
8718_001.2B, 1.0, 23450, 62, 73, 67.5, 4.66021084785
8745_001.2B, 1.0, 30928, 83, 83, 83.0, 1.80042505264
8593_001.2B, 1.0, 18802, 92, 94, 93.0, 1.37694096565
8724_001.2B, 1.0, 49458, 41, 89, 65.0, 8.80050396919
8568_001.2B, 1.0, 16862, 88, 88, 88.0, 1.34693002701
8744_001.2B, 1.0, 42898, 90, 91, 90.5, 4.65554714203
8739_001.2B, 1.0, 39430, 94, 95, 94.5, 2.92359089851
8737_001.2B, 1.0, 33900, 95, 97, 96.0, 1.57858395576
8579_001.2B, 1.0, 18250, 46, 63, 54.5, 1.96677708626
8755_002.2B, 1.0, 34446, 97, 98, 97.5, 1.77074193954
8591_001.2B, 1.0, 33960, 97, 97, 97.0, 2.61957383156
8750_004.2B, 1.0, 12754, 99, 98, 98.5, 0.796717882156
8542_001.2B, 1.0, 22134, 97, 97, 97.0, 1.128729105
8577_001.2B, 1.0, 16452, 78, 78, 78.0, 1.33563399315
8720_001.2B, 1.0, 35834, 91, 93, 92.0, 2.26743602753
8561_001.2B, 1.0, 40544, 63, 66, 64.5, 2.13669586182
8534_001.2B, 1.0, 27248, 95, 97, 96.0, 1.4775159359
8590_001.2B, 1.0, 36730, 82, 87, 84.5, 2.96475887299
8528_001.2B, 1.0, 9086, 85, 97, 91.0, 0.695944070816
8746_001.2B, 1.0, 25178, 96, 97, 96.5, 1.50418806076
8506_001.2B, 1.0, 20298, 86, 93, 89.5, 1.70328712463
8539_001.2B, 1.0, 21952, 94, 96, 95.0, 1.33863806725
8572_001.2B, 1.0, 15970, 90, 96, 93.0, 1.37172698975
8726_001.2B, 1.0, 22230, 94, 92, 93.0, 2.00962209702
8707_001.2B, 1.0, 24982, 88, 90, 89.0, 1.67002701759
8700_001.2B, 1.0, 33000, 89, 93, 91.0, 2.72818517685
8583_001.2B, 1.0, 16946, 79, 87, 83.0, 1.66696000099
8754_001.2B, 1.0, 32784, 95, 94, 94.5, 3.44411087036
8733_002.2B, 1.0, 12268, 93, 90, 91.5, 0.566730976105
8736_002.2B, 1.0, 9106, 80, 87, 83.5, 1.04517912865
8546_001.2B, 1.0, 19954, 91, 93, 92.0, 1.99914693832
8760_002.2B, 1.0, 19536, 95, 96, 95.5, 1.72603082657
8753_002.2B, 1.0, 53082, 95, 95, 95.0, 5.73181605339
8514_001.2B, 1.0, 29752, 81, 86, 83.5, 3.64860296249
8752_003.2B, 1.0, 22976, 93, 94, 93.5, 2.65394496918
8714_001.2B, 1.0, 23088, 88, 92, 90.0, 1.8034260273
8708_001.2B, 1.0, 24634, 95, 96, 95.5, 1.96455287933
8598_001.2B, 1.0, 16736, 97, 99, 98.0, 1.01265001297
8727_001.2B, 1.0, 31884, 89, 90, 89.5, 2.81182718277
8574_002.2B, 1.0, 14424, 73, 74, 73.5, 0.788197994232
8713_001.2B, 1.0, 25102, 93, 95, 94.0, 1.96690201759
8524_001.2B, 1.0, 26468, 83, 93, 88.0, 1.89873099327
8735_001.2B, 1.0, 20934, 93, 94, 93.5, 1.25329208374
8721_003.2B, 1.0, 25290, 90, 88, 89.0, 2.23234009743
8549_001.2B, 1.0, 10994, 80, 87, 83.5, 1.00619316101
8553_001.2B, 1.0, 22130, 97, 97, 97.0, 1.25637483597
8591_002.2B, 1.0, 3466, 89, 96, 92.5, 0.320546865463
8761_001.2B, 1.0, 21186, 79, 95, 87.0, 1.23056721687
8711_001.2B, 1.0, 20006, 79, 85, 82.0, 1.48285889626
8558_001.2B, 1.0, 24832, 90, 91, 90.5, 3.05007886887
8716_001.2B, 1.0, 32270, 88, 89, 88.5, 2.97460198402
8737_002.2B, 1.0, 31068, 97, 98, 97.5, 1.33883309364
8751_002.2B, 1.0, 25854, 94, 95, 94.5, 1.76712584496
8758_004.2B, 1.0, 28944, 94, 95, 94.5, 2.84316301346
8507_001.2B, 1.0, 18270, 83, 87, 85.0, 1.76551008224
8739_002.2B, 1.0, 38636, 91, 92, 91.5, 2.63052296638
8721_001.2B, 1.0, 33462, 89, 88, 88.5, 2.81687283516
8520_002.2B, 1.0, 42390, 93, 95, 94.0, 2.48730897903
8533_001.2B, 1.0, 10360, 98, 98, 98.0, 0.833352088928
8566_001.2B, 1.0, 14982, 91, 96, 93.5, 1.02086591721
8595_001.2B, 1.0, 14434, 93, 95, 94.0, 0.828396081924
8576_001.2B, 1.0, 13182, 92, 93, 92.5, 1.1232149601
8723_002.2B, 1.0, 38824, 96, 98, 97.0, 2.38419294357
8735_002.2B, 1.0, 11398, 95, 96, 95.5, 0.651410102844
8516_001.2B, 1.0, 22912, 78, 81, 79.5, 1.58651399612
8747_001.2B, 1.0, 36364, 86, 85, 85.5, 2.50459814072
8519_001.2B, 1.0, 30096, 92, 93, 92.5, 2.14632105827
8565_001.2B, 1.0, 16138, 98, 99, 98.5, 1.06082606316
8567_001.2B, 1.0, 34900, 63, 64, 63.5, 7.06680893898
8724_002.2B, 1.0, 30892, 92, 93, 92.5, 4.73913002014
8588_001.2B, 1.0, 16380, 95, 96, 95.5, 1.34479808807
8706_001.2B, 1.0, 31540, 92, 91, 91.5, 2.52478504181
8530_001.2B, 1.0, 15648, 76, 95, 85.5, 1.26669192314
8721_002.2B, 1.0, 29308, 86, 85, 85.5, 2.49087095261
8748_002.2B, 1.0, 37498, 95, 86, 90.5, 1.68309998512
8527_001.2B, 1.0, 17596, 81, 85, 83.0, 2.74256300926
8738_001.2B, 1.0, 35264, 79, 89, 84.0, 2.62073707581
8758_003.2B, 1.0, 46154, 97, 97, 97.0, 4.02486014366
8731_001.2B, 1.0, 25780, 67, 74, 70.5, 1.23120713234
8554_001.2B, 1.0, 12572, 95, 96, 95.5, 1.14050006866
8754_002.2B, 1.0, 31172, 93, 93, 93.0, 3.05455994606
8557_001.2B, 1.0, 24590, 76, 82, 79.0, 2.46262598038
8723_001.2B, 1.0, 35054, 91, 91, 91.0, 2.66517281532
8556_001.2B, 1.0, 12980, 96, 96, 96.0, 1.14944887161
8733_001.2B, 1.0, 23306, 91, 95, 93.0, 1.42664408684
8730_001.2B, 1.0, 21462, 90, 91, 90.5, 1.37394380569
8531_001.2B, 1.0, 23648, 90, 96, 93.0, 2.22356200218
8715_001.2B, 1.0, 29402, 76, 84, 80.0, 2.58238005638
8600_001.2B, 1.0, 15236, 95, 97, 96.0, 1.45324397087
8740_001.2B, 1.0, 22840, 85, 91, 88.0, 2.06918907166
8740_002.2B, 1.0, 26510, 90, 94, 92.0, 1.96087312698
8582_001.2B, 1.0, 21154, 100, 100, 100.0, 1.82655286789
8575_001.2B, 1.0, 11376, 97, 99, 98.0, 0.820315122604
8552_001.2B, 1.0, 18100, 86, 86, 86.0, 1.33534097672
8703_001.2B, 1.0, 24800, 83, 87, 85.0, 2.51910996437
8589_001.2B, 1.0, 11558, 85, 87, 86.0, 0.957790136337
8525_001.2B, 1.0, 53108, 93, 94, 93.5, 4.34781002998
8743_002.2B, 1.0, 21632, 96, 96, 96.0, 1.7542579174
8569_001.2B, 1.0, 26416, 65, 76, 70.5, 1.97642397881
8745_002.2B, 1.0, 10288, 93, 93, 93.0, 0.613068819046
8749_001.2B, 1.0, 23090, 92, 93, 92.5, 1.26161694527
8759_001.2B, 1.0, 31938, 85, 88, 86.5, 2.95854783058
8548_001.2B, 1.0, 18542, 90, 93, 91.5, 1.71889209747
8526_001.2B, 1.0, 17198, 87, 92, 89.5, 1.02437996864
8529_001.2B, 1.0, 38396, 95, 98, 96.5, 3.32360601425
8535_001.2B, 1.0, 18582, 53, 60, 56.5, 1.79111003876
8500_001.2B, 1.0, 33130, 93, 99, 96.0, 2.16037201881
8594_001.2B, 1.0, 11280, 89, 90, 89.5, 1.27103900909
8725_001.2B, 1.0, 32012, 96, 96, 96.0, 1.80497288704
